Academic Year,Term,Level of Statistics,School,Department,Course Group,Course Number,Section,Course Code,Section Code,Co-list / Multi-coded Course Section Indicator,Survey Name,Instructor's Name,Instructor's ITSC,No. of Students Invited,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),No. of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall - SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
25-26,Fall,School,AIS,-,-,-,-,-,-,-,-,-,-,-,0.558,-,,105,4.4,,0.83,,4.49,,0.76,
25-26,Fall,Department / Course Group,AIS,CTDL,-,-,-,-,-,-,-,-,-,-,0.302,,,4,3.77,,1.09,,3.98,,1.08,
25-26,Fall,Department / Course Group,AIS,AMCC,-,-,-,-,-,-,-,-,-,-,0.814,,,11,4.5,,0.81,,4.63,,0.71,
25-26,Fall,Department / Course Group,AIS,EMIA,-,-,-,-,-,-,-,-,-,-,0.681,,,9,4.34,,0.86,,4.51,,0.7,
25-26,Fall,Department / Course Group,AIS,ENVR,-,-,-,-,-,-,-,-,-,-,0.465,,,19,4.06,,1.0,,4.28,,0.89,
25-26,Fall,Department / Course Group,AIS,EVSM,-,-,-,-,-,-,-,-,-,-,0.575,,,5,4.56,,0.61,,4.61,,0.59,
25-26,Fall,Department / Course Group,AIS,ISDN,-,-,-,-,-,-,-,-,-,-,0.539,,,24,4.47,,0.75,,4.53,,0.64,
25-26,Fall,Department / Course Group,AIS,AISC,-,-,-,-,-,-,-,-,-,-,1.0,,,1,4.78,,0.44,,4.78,,0.44,
25-26,Fall,Department / Course Group,AIS,PPOL,-,-,-,-,-,-,-,-,-,-,0.646,,,25,4.57,,0.67,,4.6,,0.69,
25-26,Fall,Department / Course Group,AIS,MTLE,-,-,-,-,-,-,-,-,-,-,0.494,,,5,4.6,,0.65,,4.69,,0.6,
25-26,Fall,Department / Course Group,AIS,TEMG,-,-,-,-,-,-,-,-,-,-,0.439,Y,,2,4.61,,0.5,,4.72,,0.46,
25-26,Fall,Course,AIS,CTDL,CTDL,1902,-,25-26-Fall-CTDL-1902,-,-,-,-,-,-,0.302,,,4,3.77,,1.09,,3.98,,1.08,
25-26,Fall,Section,AIS,CTDL,CTDL,1902,L1,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L1,-,-,-,-,55,0.382,Y,,-,3.81,,1.17,,3.79,,1.34,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L1,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L1,-,25-26-FALL-CTDL-1902-L1-Instructor,"CHOI, Joon Nak",jnchoi,55,0.382,Y,,-,3.81,,1.17,,3.67,,1.46,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L1,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L1,-,25-26-FALL-CTDL-1902-L1-Instructor,"MCMINN, Sean",smcminn,55,0.382,Y,,-,3.81,,1.17,,3.9,,1.22,
25-26,Fall,Section,AIS,CTDL,CTDL,1902,L2,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L2,-,-,-,-,60,0.233,Y,,-,4.07,,0.83,,4.25,,0.65,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L2,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L2,-,25-26-FALL-CTDL-1902-L2-Instructor,"CHOI, Joon Nak",jnchoi,60,0.233,Y,,-,4.07,,0.83,,4.21,,0.7,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L2,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L2,-,25-26-FALL-CTDL-1902-L2-Instructor,"MCMINN, Sean",smcminn,60,0.233,Y,,-,4.07,,0.83,,4.29,,0.61,
25-26,Fall,Section,AIS,CTDL,CTDL,1902,L3,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L3,-,-,-,-,60,0.283,Y,,-,3.76,,1.39,,4.06,,1.25,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L3,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L3,-,25-26-FALL-CTDL-1902-L3-Instructor,"CHOI, Joon Nak",jnchoi,60,0.283,Y,,-,3.76,,1.39,,3.88,,1.41,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L3,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L3,-,25-26-FALL-CTDL-1902-L3-Instructor,"MCMINN, Sean",smcminn,60,0.283,Y,,-,3.76,,1.39,,4.24,,1.09,
25-26,Fall,Section,AIS,CTDL,CTDL,1902,L4,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L4,-,-,-,-,57,0.316,Y,,-,3.5,,0.86,,3.92,,0.77,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L4,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L4,-,25-26-FALL-CTDL-1902-L4-Instructor,"CHOI, Joon Nak",jnchoi,57,0.316,Y,,-,3.5,,0.86,,3.89,,0.83,
25-26,Fall,Instructor,AIS,CTDL,CTDL,1902,L4,25-26-Fall-CTDL-1902,25-26-Fall-CTDL-1902-L4,-,25-26-FALL-CTDL-1902-L4-Instructor,"MCMINN, Sean",smcminn,57,0.316,Y,,-,3.5,,0.86,,3.94,,0.73,
25-26,Fall,Course,AIS,AMCC,AMCC,5010,-,25-26-Fall-AMCC-5010,-,-,-,-,-,-,0.708,,,1,4.76,,0.44,,4.94,,0.24,
25-26,Fall,Section,AIS,AMCC,AMCC,5010,L1,25-26-Fall-AMCC-5010,25-26-Fall-AMCC-5010-L1,-,-,-,-,24,0.708,,,-,4.76,,0.44,,4.94,,0.24,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5010,L1,25-26-Fall-AMCC-5010,25-26-Fall-AMCC-5010-L1,-,25-26-FALL-AMCC-5010-L1-Instructor,"XUE, Wei",weixue,24,0.708,,,-,4.76,,0.44,,4.94,,0.24,
25-26,Fall,Course,AIS,AMCC,AMCC,5110,-,25-26-Fall-AMCC-5110,-,-,-,-,-,-,0.75,,,1,4.59,,0.75,,4.63,,0.74,
25-26,Fall,Section,AIS,AMCC,AMCC,5110,L1,25-26-Fall-AMCC-5110,25-26-Fall-AMCC-5110-L1,-,-,-,-,36,0.75,,,-,4.59,,0.75,,4.63,,0.74,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5110,L1,25-26-Fall-AMCC-5110,25-26-Fall-AMCC-5110-L1,-,25-26-FALL-AMCC-5110-L1-Instructor,"FU, Hongbo",hongbofu,36,0.75,,,-,4.59,,0.75,,4.63,,0.74,
25-26,Fall,Course,AIS,AMCC,AMCC,5140,-,25-26-Fall-AMCC-5140,-,-,-,-,-,-,0.769,,,1,4.43,,0.9,,4.6,,0.67,
25-26,Fall,Section,AIS,AMCC,AMCC,5140,L1,25-26-Fall-AMCC-5140,25-26-Fall-AMCC-5140-L1,-,-,-,-,39,0.769,,,-,4.43,,0.9,,4.6,,0.67,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5140,L1,25-26-Fall-AMCC-5140,25-26-Fall-AMCC-5140-L1,-,25-26-FALL-AMCC-5140-L1-Instructor,"RAO, Anyi",anyirao,39,0.769,,,-,4.43,,0.9,,4.6,,0.67,
25-26,Fall,Course,AIS,AMCC,AMCC,5160,-,25-26-Fall-AMCC-5160,-,-,-,-,-,-,0.75,,,1,4.78,,0.43,,4.72,,0.57,
25-26,Fall,Section,AIS,AMCC,AMCC,5160,L1,25-26-Fall-AMCC-5160,25-26-Fall-AMCC-5160-L1,-,-,-,-,24,0.75,,,-,4.78,,0.43,,4.72,,0.57,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5160,L1,25-26-Fall-AMCC-5160,25-26-Fall-AMCC-5160-L1,-,25-26-FALL-AMCC-5160-L1-Instructor,"YANG, Harry",yangharry,24,0.75,,,-,4.78,,0.43,,4.72,,0.57,
25-26,Fall,Course,AIS,AMCC,AMCC,5210,-,25-26-Fall-AMCC-5210,-,-,-,-,-,-,0.833,,,1,4.67,,0.62,,4.8,,0.56,
25-26,Fall,Section,AIS,AMCC,AMCC,5210,L1,25-26-Fall-AMCC-5210,25-26-Fall-AMCC-5210-L1,-,-,-,-,18,0.833,,,-,4.67,,0.62,,4.8,,0.56,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5210,L1,25-26-Fall-AMCC-5210,25-26-Fall-AMCC-5210-L1,-,25-26-FALL-AMCC-5210-L1-Instructor,"LUO, Wenhan",whluo,18,0.833,,,-,4.67,,0.62,,4.8,,0.56,
25-26,Fall,Course,AIS,AMCC,AMCC,5330,-,25-26-Fall-AMCC-5330,-,-,-,-,-,-,0.96,,,2,4.29,,1.07,,4.4,,0.98,
25-26,Fall,Section,AIS,AMCC,AMCC,5330,L1,25-26-Fall-AMCC-5330,25-26-Fall-AMCC-5330-L1,-,-,-,-,34,0.941,,,-,4.38,,0.94,,4.44,,0.88,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5330,L1,25-26-Fall-AMCC-5330,25-26-Fall-AMCC-5330-L1,-,25-26-FALL-AMCC-5330-L1-Instructor,"CHUN, Daniel",djychun,34,0.941,,,-,4.38,,0.94,,4.44,,0.88,
25-26,Fall,Section,AIS,AMCC,AMCC,5330,L2,25-26-Fall-AMCC-5330,25-26-Fall-AMCC-5330-L2,-,-,-,-,16,1.0,,,-,4.13,,1.31,,4.31,,1.2,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5330,L2,25-26-Fall-AMCC-5330,25-26-Fall-AMCC-5330-L2,-,25-26-FALL-AMCC-5330-L2-Instructor,"CHUN, Daniel",djychun,16,1.0,,,-,4.13,,1.31,,4.31,,1.2,
25-26,Fall,Course,AIS,AMCC,AMCC,5410,-,25-26-Fall-AMCC-5410,-,-,-,-,-,-,0.735,,,2,4.31,,0.82,,4.58,,0.65,
25-26,Fall,Section,AIS,AMCC,AMCC,5410,L1,25-26-Fall-AMCC-5410,25-26-Fall-AMCC-5410-L1,-,-,-,-,35,0.743,,,-,4.27,,0.92,,4.5,,0.71,
25-26,Fall,Instructor,AIS,AMCC,AMCC,5410,L1,25-26-Fall-AMCC-5410,25-26-Fall-AMCC-5410-L1,-,25-26-FALL-AMCC-5410-L1-Instructor,"CHENG, Vennes",vennescheng,35,0.743,,,-,4.27,,0.92,,4.5,,0.71,
