Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
19-20,SUMMER,School,SBM,-,-,-,-,-,-,-,-,-,-,0.413,,-,44,81,-,23.2,-,85.5,-,20.9,-
19-20,SUMMER,Dept / Course Group,SBM,ACCT,-,-,-,-,-,-,-,-,-,0.53,,-,5,81.4,-,21.1,-,83.2,-,20.7,-
19-20,SUMMER,Dept / Course Group,SBM,ECON,-,-,-,-,-,-,-,-,-,0.029,Y,-,1,25,-,35.4,-,0,-,0,-
19-20,SUMMER,Dept / Course Group,SBM,FINA,-,-,-,-,-,-,-,-,-,0.625,,-,1,90,-,12.7,-,93.3,-,11.4,-
19-20,SUMMER,Dept / Course Group,SBM,ISOM,-,-,-,-,-,-,-,-,-,0.385,,-,10,83.9,-,21.1,-,85.2,-,20.9,-
19-20,SUMMER,Dept / Course Group,SBM,MIMT,-,-,-,-,-,-,-,-,-,0.583,,-,2,87.9,-,16.5,-,92.9,-,13,-
19-20,SUMMER,Dept / Course Group,SBM,MGMT,-,-,-,-,-,-,-,-,-,0.351,,-,12,75.4,-,25.4,-,82.7,-,20.7,-
19-20,SUMMER,Dept / Course Group,SBM,MARK,-,-,-,-,-,-,-,-,-,0.755,,-,1,89.2,-,17.2,-,93.9,-,14.9,-
19-20,SUMMER,Dept / Course Group,SBM,SBMT,-,-,-,-,-,-,-,-,-,0.476,,-,12,83.6,-,22.1,-,87.2,-,21,-
19-20,SUMMER,Course,SBM,ACCT,ACCT,1010,-,19-20-SUMMER-ACCT-1010,-,-,-,-,-,0.684,,-,2,76.9,-,18.6,-,82.7,-,18.4,-
19-20,SUMMER,Section,SBM,ACCT,ACCT,1010,L1,19-20-SUMMER-ACCT-1010,19-20-SUMMER-ACCT-1010-L1,-,-,-,19,0.789,,0.684,-,76.7,76.9,20,19,81.7,82.7,20,18.8
19-20,SUMMER,Instructor,SBM,ACCT,ACCT,1010,L1,19-20-SUMMER-ACCT-1010,19-20-SUMMER-ACCT-1010-L1,19-20-SUMMER-ACCT-1010-L1-SI,"CAO, Kai",kcaoab,19,0.789,,0.684,-,76.7,76.9,20,19,81.7,82.7,20,18.8
19-20,SUMMER,Section,SBM,ACCT,ACCT,1010,L2,19-20-SUMMER-ACCT-1010,19-20-SUMMER-ACCT-1010-L2,-,-,-,19,0.579,Y,0.474,-,77.3,77.8,17.5,15,84.1,86.1,16.9,13.2
19-20,SUMMER,Instructor,SBM,ACCT,ACCT,1010,L2,19-20-SUMMER-ACCT-1010,19-20-SUMMER-ACCT-1010-L2,19-20-SUMMER-ACCT-1010-L2-SI,"WANG, Hui",hwangcr,19,0.579,Y,0.474,-,77.3,77.8,17.5,15,84.1,86.1,16.9,13.2
19-20,SUMMER,Course,SBM,ACCT,ACCT,2010,-,19-20-SUMMER-ACCT-2010,-,-,-,-,-,0.7,,0.6,1,71.4,72.9,23.7,19.8,71.4,72.9,21.6,16.7
19-20,SUMMER,Section,SBM,ACCT,ACCT,2010,L1,19-20-SUMMER-ACCT-2010,19-20-SUMMER-ACCT-2010-L1,-,-,-,20,0.7,,0.6,-,71.4,72.9,23.7,19.8,71.4,72.9,21.6,16.7
19-20,SUMMER,Instructor,SBM,ACCT,ACCT,2010,L1,19-20-SUMMER-ACCT-2010,19-20-SUMMER-ACCT-2010-L1,19-20-SUMMER-ACCT-2010-L1-SI,"SUN,Chengzhu",csunab,20,0.7,,0.6,-,71.4,72.9,23.7,19.8,71.4,72.9,21.6,16.7
19-20,SUMMER,Course,SBM,ACCT,ACCT,5630,-,19-20-SUMMER-ACCT-5630,-,-,-,-,-,0.339,Y,-,1,94.7,-,13.4,-,93.4,-,16.3,-
19-20,SUMMER,Section,SBM,ACCT,ACCT,5630,L1,19-20-SUMMER-ACCT-5630,19-20-SUMMER-ACCT-5630-L1,-,-,-,56,0.339,Y,-,-,94.7,-,13.4,-,93.4,-,16.3,-
19-20,SUMMER,Instructor,SBM,ACCT,ACCT,5630,L1,19-20-SUMMER-ACCT-5630,19-20-SUMMER-ACCT-5630-L1,19-20-SUMMER-ACCT-5630-L1-SI,"FRANKLIN, Laurence Craig",lcfran,56,0.339,Y,0.304,-,94.7,97.1,13.4,8.3,93.4,95.6,16.3,13.2
19-20,SUMMER,Course,SBM,ACCT,ACCT,6900G,-,19-20-SUMMER-ACCT-6900G,-,-,-,-,-,0.611,Y,-,1,81.8,-,25.2,-,81.8,-,25.2,-
19-20,SUMMER,Section,SBM,ACCT,ACCT,6900G,L1,19-20-SUMMER-ACCT-6900G,19-20-SUMMER-ACCT-6900G-L1,-,-,-,18,0.611,Y,-,-,81.8,-,25.2,-,81.8,-,25.2,-
19-20,SUMMER,Instructor,SBM,ACCT,ACCT,6900G,L1,19-20-SUMMER-ACCT-6900G,19-20-SUMMER-ACCT-6900G-L1,19-20-SUMMER-ACCT-6900G-L1-SI,HUNG Mingyi,acmy,18,0.611,Y,0.5,-,81.8,86.1,25.2,18.2,81.8,86.1,25.2,18.2
19-20,SUMMER,Course,SBM,ECON,ECON,5200,-,19-20-SUMMER-ECON-5200,-,-,-,-,-,0.029,Y,-,1,25,-,35.4,-,0,-,0,-
19-20,SUMMER,Section,SBM,ECON,ECON,5200,L1,19-20-SUMMER-ECON-5200,19-20-SUMMER-ECON-5200-L1,-,-,-,68,0.029,Y,-,-,25,-,35.4,-,0,-,0,-
19-20,SUMMER,Instructor,SBM,ECON,ECON,5200,L1,19-20-SUMMER-ECON-5200,19-20-SUMMER-ECON-5200-L1,19-20-SUMMER-ECON-5200-L1-SI,"COOK, David Edward",davcook,68,0.029,Y,-,-,25,-,35.4,-,0,-,0,-
19-20,SUMMER,Course,SBM,FINA,FINA,5330,-,19-20-SUMMER-FINA-5330,-,-,-,-,-,0.625,,-,1,90,-,12.7,-,93.3,-,11.4,-
19-20,SUMMER,Section,SBM,FINA,FINA,5330,L1,19-20-SUMMER-FINA-5330,19-20-SUMMER-FINA-5330-L1,-,-,-,24,0.625,,-,-,90,-,12.7,-,93.3,-,11.4,-
19-20,SUMMER,Instructor,SBM,FINA,FINA,5330,L1,19-20-SUMMER-FINA-5330,19-20-SUMMER-FINA-5330-L1,19-20-SUMMER-FINA-5330-L1-SI,"FRANKLIN, Laurence Craig",lcfran,24,0.625,,0.542,-,90,90.4,12.7,12.7,93.3,94.2,11.4,11
19-20,SUMMER,Course,SBM,ISOM,ISOM,1380,-,19-20-SUMMER-ISOM-1380,-,-,-,-,-,0.293,Y,-,1,69.8,-,26.2,-,68.1,-,22.1,-
19-20,SUMMER,Section,SBM,ISOM,ISOM,1380,L1,19-20-SUMMER-ISOM-1380,19-20-SUMMER-ISOM-1380-L1,-,-,-,99,0.293,Y,-,-,69.8,-,26.2,-,68.1,-,22.1,-
19-20,SUMMER,Instructor,SBM,ISOM,ISOM,1380,L1,19-20-SUMMER-ISOM-1380,19-20-SUMMER-ISOM-1380-L1,19-20-SUMMER-ISOM-1380-L1-SI,"HONG, Se-joon",sejoon,99,0.293,Y,0.273,-,69.8,71.3,26.2,22.7,68.1,68.5,22.1,20.3
19-20,SUMMER,Course,SBM,ISOM,ISOM,3000E,-,19-20-SUMMER-ISOM-3000E,-,-,-,-,-,0.286,Y,-,1,89.6,-,16.7,-,91.7,-,16.3,-
19-20,SUMMER,Section,SBM,ISOM,ISOM,3000E,L1,19-20-SUMMER-ISOM-3000E,19-20-SUMMER-ISOM-3000E-L1,-,-,-,42,0.286,Y,-,-,89.6,-,16.7,-,91.7,-,16.3,-
19-20,SUMMER,Instructor,SBM,ISOM,ISOM,3000E,L1,19-20-SUMMER-ISOM-3000E,19-20-SUMMER-ISOM-3000E-L1,19-20-SUMMER-ISOM-3000E-L1-SI,"KIM, Yongsuk",yongskim,42,0.286,Y,0.238,-,89.6,92.5,16.7,12.1,91.7,95,16.3,10.5
19-20,SUMMER,Course,SBM,ISOM,ISOM,3310,-,19-20-SUMMER-ISOM-3310,-,-,-,-,-,0.333,Y,-,1,68.3,-,27.5,-,60,-,28,-
