Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
24-25,WINTER,School,SBM,-,-,-,-,-,-,-,-,-,-,0.317,,-,19,4.39,-,0.87,-,4.56,-,0.75,-
24-25,WINTER,Dept / Course Group,SBM,ECON,-,-,-,-,-,-,-,-,-,0.234,Y,-,2,4.96,-,0.2,-,5.0,-,0.0,-
24-25,WINTER,Dept / Course Group,SBM,ISOM,-,-,-,-,-,-,-,-,-,0.304,,-,13,4.39,-,0.86,-,4.52,-,0.8,-
24-25,WINTER,Dept / Course Group,SBM,MGMT,-,-,-,-,-,-,-,-,-,0.462,,-,1,4.0,-,1.02,-,4.17,-,0.87,-
24-25,WINTER,Dept / Course Group,SBM,MARK,-,-,-,-,-,-,-,-,-,0.364,Y,-,1,4.58,-,0.51,-,4.67,-,0.49,-
24-25,WINTER,Dept / Course Group,SBM,WBBA,-,-,-,-,-,-,-,-,-,0.38,Y,-,1,3.74,-,1.05,-,4.0,-,1.05,-
24-25,WINTER,Dept / Course Group,SBM,SBMT,-,-,-,-,-,-,-,-,-,0.451,,-,1,4.48,-,0.85,-,4.76,-,0.5,-
24-25,WINTER,Course,SBM,ECON,ECON,5341,-,24-25-WINTER-ECON-5341,-,-,-,-,-,0.231,Y,0.212,1,4.96,5,0.2,0,5.0,5,0.0,0
24-25,WINTER,Section,SBM,ECON,ECON,5341,L1,24-25-WINTER-ECON-5341,24-25-WINTER-ECON-5341-L1,-,-,-,104,0.231,Y,0.212,-,4.96,5,0.2,0,5.0,5,0.0,0
24-25,WINTER,Instructor,SBM,ECON,ECON,5341,L1,24-25-WINTER-ECON-5341,24-25-WINTER-ECON-5341-L1,24-25-WINTER-ECON-5341-L1-SI,"LORETAN, Mico",mico,104,0.231,Y,0.212,-,4.96,5,0.2,0,5.0,5,0.0,0
24-25,WINTER,Course,SBM,ECON,ECON,6120X,-,24-25-WINTER-ECON-6120X,-,-,-,-,-,0.286,Y,-,1,5.0,-,0.0,-,5.0,-,0.0,-
24-25,WINTER,Section,SBM,ECON,ECON,6120X,L1,24-25-WINTER-ECON-6120X,24-25-WINTER-ECON-6120X-L1,-,-,-,7,0.286,Y,-,-,5.0,-,0.0,-,5.0,-,0.0,-
24-25,WINTER,Instructor,SBM,ECON,ECON,6120X,L1,24-25-WINTER-ECON-6120X,24-25-WINTER-ECON-6120X-L1,24-25-WINTER-ECON-6120X-L1-SI,"LEE, Lung Fei",lflee,7,0.286,Y,-,-,5.0,-,0.0,-,5.0,-,0.0,-
24-25,WINTER,Course,SBM,ISOM,ISOM,1090,-,24-25-WINTER-ISOM-1090,-,-,-,-,-,0.225,Y,-,1,3.56,-,1.15,-,3.83,-,1.04,-
24-25,WINTER,Section,SBM,ISOM,ISOM,1090,L1,24-25-WINTER-ISOM-1090,24-25-WINTER-ISOM-1090-L1,-,-,-,80,0.225,Y,-,-,3.56,-,1.15,-,3.83,-,1.04,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,1090,L1,24-25-WINTER-ISOM-1090,24-25-WINTER-ISOM-1090-L1,24-25-WINTER-ISOM-1090-L1-SI,"TEH, Jack H H",jteh,80,0.225,Y,0.2,-,3.56,3.63,1.15,0.96,3.83,3.88,1.04,0.96
24-25,WINTER,Course,SBM,ISOM,ISOM,1380,-,24-25-WINTER-ISOM-1380,-,-,-,-,-,0.167,Y,-,1,4.31,-,0.85,-,4.46,-,0.66,-
24-25,WINTER,Section,SBM,ISOM,ISOM,1380,L1,24-25-WINTER-ISOM-1380,24-25-WINTER-ISOM-1380-L1,-,-,-,78,0.167,Y,-,-,4.31,-,0.85,-,4.46,-,0.66,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,1380,L1,24-25-WINTER-ISOM-1380,24-25-WINTER-ISOM-1380-L1,24-25-WINTER-ISOM-1380-L1-SI,"HONG, Se-joon",sejoon,78,0.167,Y,0.141,-,4.31,4.45,0.85,0.52,4.46,4.55,0.66,0.52
24-25,WINTER,Course,SBM,ISOM,ISOM,1700,-,24-25-WINTER-ISOM-1700,-,-,-,-,-,0.301,,-,1,4.21,-,0.93,-,4.34,-,0.92,-
24-25,WINTER,Section,SBM,ISOM,ISOM,1700,L1,24-25-WINTER-ISOM-1700,24-25-WINTER-ISOM-1700-L1,-,-,-,186,0.301,,-,-,4.21,-,0.93,-,4.34,-,0.92,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,1700,L1,24-25-WINTER-ISOM-1700,24-25-WINTER-ISOM-1700-L1,24-25-WINTER-ISOM-1700-L1-SI,"LAU, Ronald Siu Man",rlau,186,0.301,,0.29,-,4.21,4.26,0.93,0.83,4.34,4.39,0.92,0.81
24-25,WINTER,Course,SBM,ISOM,ISOM,2400,-,24-25-WINTER-ISOM-2400,-,-,-,-,-,0.212,Y,-,1,4.05,-,1.07,-,4.29,-,0.9,-
24-25,WINTER,Section,SBM,ISOM,ISOM,2400,L1,24-25-WINTER-ISOM-2400,24-25-WINTER-ISOM-2400-L1,-,-,-,99,0.212,Y,-,-,4.05,-,1.07,-,4.29,-,0.9,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,2400,L1,24-25-WINTER-ISOM-2400,24-25-WINTER-ISOM-2400-L1,24-25-WINTER-ISOM-2400-L1-SI,"XU, Yan",xuyan,99,0.212,Y,0.192,-,4.05,4.16,1.07,0.83,4.29,4.42,0.9,0.51
24-25,WINTER,Course,SBM,ISOM,ISOM,3400,-,24-25-WINTER-ISOM-3400,-,-,-,-,-,0.146,Y,0.098,1,4.17,4.5,1.17,0.58,4.67,4.75,0.52,0.5
24-25,WINTER,Section,SBM,ISOM,ISOM,3400,L1,24-25-WINTER-ISOM-3400,24-25-WINTER-ISOM-3400-L1,-,-,-,41,0.146,Y,0.098,-,4.17,4.5,1.17,0.58,4.67,4.75,0.52,0.5
24-25,WINTER,Instructor,SBM,ISOM,ISOM,3400,L1,24-25-WINTER-ISOM-3400,24-25-WINTER-ISOM-3400-L1,24-25-WINTER-ISOM-3400-L1-SI,"JIA, Jia",justinjia,41,0.146,Y,0.098,-,4.17,4.5,1.17,0.58,4.67,4.75,0.52,0.5
24-25,WINTER,Course,SBM,ISOM,ISOM,4740,-,24-25-WINTER-ISOM-4740,-,-,-,-,-,0.3,Y,-,1,4.44,-,0.53,-,4.33,-,1.32,-
24-25,WINTER,Section,SBM,ISOM,ISOM,4740,L1,24-25-WINTER-ISOM-4740,24-25-WINTER-ISOM-4740-L1,-,-,-,30,0.3,Y,-,-,4.44,-,0.53,-,4.33,-,1.32,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,4740,L1,24-25-WINTER-ISOM-4740,24-25-WINTER-ISOM-4740-L1,24-25-WINTER-ISOM-4740-L1-SI,"LAU, Ronald Siu Man",rlau,30,0.3,Y,0.233,-,4.44,4.43,0.53,0.53,4.33,4.71,1.32,0.49
24-25,WINTER,Course,SBM,ISOM,ISOM,5020,-,24-25-WINTER-ISOM-5020,-,-,-,-,-,0.636,,-,2,4.67,-,0.67,-,4.73,-,0.63,-
24-25,WINTER,Section,SBM,ISOM,ISOM,5020,L1,24-25-WINTER-ISOM-5020,24-25-WINTER-ISOM-5020-L1,-,-,-,57,0.544,,-,-,4.77,-,0.43,-,4.81,-,0.4,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,5020,L1,24-25-WINTER-ISOM-5020,24-25-WINTER-ISOM-5020-L1,24-25-WINTER-ISOM-5020-L1-SI,"KOH,Tat Koon",koh,57,0.544,,0.509,-,4.77,4.79,0.43,0.41,4.81,4.83,0.4,0.38
24-25,WINTER,Section,SBM,ISOM,ISOM,5020,L2,24-25-WINTER-ISOM-5020,24-25-WINTER-ISOM-5020-L2,-,-,-,42,0.762,,-,-,4.56,-,0.84,-,4.66,-,0.79,-
24-25,WINTER,Instructor,SBM,ISOM,ISOM,5020,L2,24-25-WINTER-ISOM-5020,24-25-WINTER-ISOM-5020-L2,24-25-WINTER-ISOM-5020-L2-SI,"KOH,Tat Koon",koh,42,0.762,,0.714,-,4.56,4.67,0.84,0.55,4.66,4.77,0.79,0.43
