Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
23-24,WINTER,School,SENG,-,-,-,-,-,-,-,-,-,-,0.318,,-,7,4.54,-,0.62,-,4.44,-,0.71,-
23-24,WINTER,Dept / Course Group,SENG,COMP,-,-,-,-,-,-,-,-,-,0.261,,-,4,4.44,-,0.63,-,4.39,-,0.67,-
23-24,WINTER,Dept / Course Group,SENG,ENTR-SENG,-,-,-,-,-,-,-,-,-,0.667,Y,-,1,4.75,-,0.5,-,5.0,-,0.0,-
23-24,WINTER,Dept / Course Group,SENG,ENGG,-,-,-,-,-,-,-,-,-,0.514,,-,2,4.72,-,0.57,-,4.44,-,0.86,-
23-24,WINTER,Course,SENG,COMP,COMP,1029C,-,23-24-WINTER-COMP-1029C,-,-,-,-,-,0.306,Y,0.265,1,4.4,4.46,0.63,0.52,4.4,4.46,0.83,0.78
23-24,WINTER,Section,SENG,COMP,COMP,1029C,L1,23-24-WINTER-COMP-1029C,23-24-WINTER-COMP-1029C-L1,-,-,-,49,0.306,Y,0.265,-,4.4,4.46,0.63,0.52,4.4,4.46,0.83,0.78
23-24,WINTER,Instructor,SENG,COMP,COMP,1029C,L1,23-24-WINTER-COMP-1029C,23-24-WINTER-COMP-1029C-L1,23-24-WINTER-COMP-1029C-L1-SI,"LAM, Gibson",gibson,49,0.306,Y,0.265,-,4.4,4.46,0.63,0.52,4.4,4.46,0.83,0.78
23-24,WINTER,Course,SENG,COMP,COMP,1029J,-,23-24-WINTER-COMP-1029J,-,-,-,-,-,0.28,Y,0.24,1,4.5,4.5,0.52,0.52,4.36,4.33,0.5,0.49
23-24,WINTER,Section,SENG,COMP,COMP,1029J,L1,23-24-WINTER-COMP-1029J,23-24-WINTER-COMP-1029J-L1,-,-,-,50,0.28,Y,0.24,-,4.5,4.5,0.52,0.52,4.36,4.33,0.5,0.49
23-24,WINTER,Instructor,SENG,COMP,COMP,1029J,L1,23-24-WINTER-COMP-1029J,23-24-WINTER-COMP-1029J-L1,23-24-WINTER-COMP-1029J-L1-SI,"LAM, Gibson",gibson,50,0.28,Y,0.24,-,4.5,4.5,0.52,0.52,4.36,4.33,0.5,0.49
