Academic Year,Term,Level of Statistics,School,Department,Course Group,Course Number,Section,Course Code,Section Code,Co-list / Multi-coded Course Section Indicator,Survey Name,Instructor's Name,Instructor's ITSC,No. of Students Invited,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),No. of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall - SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
25-26,Fall,School,SHSS,-,-,-,-,-,-,-,-,-,-,-,0.472,-,,110,4.32,,0.86,,4.47,,0.79,
25-26,Fall,Department / Course Group,SHSS,HUMA,-,-,-,-,-,-,-,-,-,-,0.426,,,45,4.19,,0.95,,4.32,,0.91,
25-26,Fall,Department / Course Group,SHSS,HMMA,-,-,-,-,-,-,-,-,-,-,0.787,,,3,4.67,,0.56,,4.76,,0.46,
25-26,Fall,Department / Course Group,SHSS,MASS,-,-,-,-,-,-,-,-,-,-,0.669,,,10,4.6,,0.74,,4.74,,0.64,
25-26,Fall,Department / Course Group,SHSS,MGCS,-,-,-,-,-,-,-,-,-,-,0.797,,,9,4.69,,0.54,,4.75,,0.49,
25-26,Fall,Department / Course Group,SHSS,MILE,-,-,-,-,-,-,-,-,-,-,0.933,,,6,4.55,,0.68,,4.69,,0.58,
25-26,Fall,Department / Course Group,SHSS,HSS,-,-,-,-,-,-,-,-,-,-,0.323,Y,,3,4.1,,0.74,,4.03,,1.0,
25-26,Fall,Department / Course Group,SHSS,SOSC,-,-,-,-,-,-,-,-,-,-,0.381,,,34,4.24,,0.8,,4.35,,0.77,
25-26,Fall,Course,SHSS,HUMA,HUMA,1010,-,25-26-Fall-HUMA-1010,-,-,-,-,-,-,0.294,,,1,3.74,,1.15,,3.74,,1.15,
25-26,Fall,Section,SHSS,HUMA,HUMA,1010,L1,25-26-Fall-HUMA-1010,25-26-Fall-HUMA-1010-L1,-,-,-,-,119,0.294,,,-,3.74,,1.15,,3.74,,1.15,
25-26,Fall,Instructor,SHSS,HUMA,HUMA,1010,L1,25-26-Fall-HUMA-1010,25-26-Fall-HUMA-1010-L1,-,25-26-FALL-HUMA-1010-L1-Instructor,"LI, Dechao",hmdcli,119,0.294,,,-,3.74,,1.15,,3.74,,1.15,
25-26,Fall,Course,SHSS,HUMA,HUMA,1102,-,25-26-Fall-HUMA-1102,-,-,-,-,-,-,0.696,,,1,3.78,,1.05,,4.1,,0.91,
25-26,Fall,Section,SHSS,HUMA,HUMA,1102,L1,25-26-Fall-HUMA-1102,25-26-Fall-HUMA-1102-L1,-,-,-,-,138,0.696,,,-,3.78,,1.05,,4.1,,0.91,
25-26,Fall,Instructor,SHSS,HUMA,HUMA,1102,L1,25-26-Fall-HUMA-1102,25-26-Fall-HUMA-1102-L1,-,25-26-FALL-HUMA-1102-L1-Instructor,"KAILA, Ilari",kaila,138,0.696,,,-,3.78,,1.05,,4.1,,0.91,
25-26,Fall,Course,SHSS,HUMA,HUMA,1154,-,25-26-Fall-HUMA-1154,-,-,-,-,-,-,0.448,,,2,3.91,,1.21,,3.72,,1.41,
25-26,Fall,Section,SHSS,HUMA,HUMA,1154,L1,25-26-Fall-HUMA-1154,25-26-Fall-HUMA-1154-L1,-,-,-,-,54,0.426,,,-,3.91,,1.31,,3.83,,1.44,
