Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
21-22,SPRING,School,SHSS,-,-,-,-,-,-,-,-,-,-,0.526,,-,106,4.3,-,0.86,-,4.37,-,0.81,-
21-22,SPRING,Dept / Course Group,SHSS,HUMA,-,-,-,-,-,-,-,-,-,0.502,,-,40,4.2,-,0.89,-,4.29,-,0.84,-
21-22,SPRING,Dept / Course Group,SHSS,HMMA,-,-,-,-,-,-,-,-,-,0.808,,-,1,4.81,-,0.87,-,4.81,-,0.87,-
21-22,SPRING,Dept / Course Group,SHSS,MGCS,-,-,-,-,-,-,-,-,-,0.75,,-,9,4.62,-,0.76,-,4.67,-,0.68,-
21-22,SPRING,Dept / Course Group,SHSS,MILE,-,-,-,-,-,-,-,-,-,0.907,,-,11,4.35,-,0.91,-,4.41,-,0.85,-
21-22,SPRING,Dept / Course Group,SHSS,MASS,-,-,-,-,-,-,-,-,-,0.789,,-,4,4.61,-,0.66,-,4.67,-,0.62,-
21-22,SPRING,Dept / Course Group,SHSS,SOSC,-,-,-,-,-,-,-,-,-,0.436,,-,34,4.25,-,0.84,-,4.31,-,0.79,-
21-22,SPRING,Dept / Course Group,SHSS,HART,-,-,-,-,-,-,-,-,-,0.57,,-,7,4.19,-,0.86,-,4.26,-,0.82,-
21-22,SPRING,Course,SHSS,HUMA,HUMA,1000A,-,21-22-SPRING-HUMA-1000A,-,-,-,-,-,0.455,,0.436,2,3.93,3.95,0.82,0.75,4.07,4.1,0.78,0.7
21-22,SPRING,Section,SHSS,HUMA,HUMA,1000A,L1,21-22-SPRING-HUMA-1000A,21-22-SPRING-HUMA-1000A-L1,-,-,-,393,0.458,,0.443,-,3.91,3.93,0.81,0.75,4.05,4.08,0.79,0.71
