Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
18-19,SUMMER,School,SHSS,-,-,-,-,-,-,-,-,-,-,0.351,,-,8,83.4,-,18.5,-,87.6,-,15.8,-
18-19,SUMMER,Dept / Course Group,SHSS,HUMA,-,-,-,-,-,-,-,-,-,0.303,,-,5,81.8,-,21.1,-,86.9,-,18.3,-
18-19,SUMMER,Dept / Course Group,SHSS,HSS,-,-,-,-,-,-,-,-,-,0.471,Y,-,1,96.9,-,8.8,-,92.2,-,17.6,-
18-19,SUMMER,Dept / Course Group,SHSS,SOSC,-,-,-,-,-,-,-,-,-,0.361,,-,2,83.2,-,18.0,-,87.3,-,14.9,-
18-19,SUMMER,Course,SHSS,HUMA,HUMA,2106,-,18-19-SUMMER-HUMA-2106,-,-,-,-,-,0.429,Y,-,1,83.3,-,14.4,-,75.0,-,25.0,-
18-19,SUMMER,Section,SHSS,HUMA,HUMA,2106,L1,18-19-SUMMER-HUMA-2106,18-19-SUMMER-HUMA-2106-L1,-,-,-,7,0.429,Y,-,-,83.3,-,14.4,-,75.0,-,25.0,-
18-19,SUMMER,Instructor,SHSS,HUMA,HUMA,2106,L1,18-19-SUMMER-HUMA-2106,18-19-SUMMER-HUMA-2106-L1,18-19-SUMMER-HUMA-2106-L1-SI,"SHENG, Bright",bsheng,7,0.429,Y,0.143,-,83.3,75,14.4,0,75.0,75,25.0,0
18-19,SUMMER,Course,SHSS,HUMA,HUMA,2300,-,18-19-SUMMER-HUMA-2300,-,-,-,-,-,0.305,Y,0.271,1,79.2,81.3,24.6,21.4,87.5,89.1,17.7,15.7
18-19,SUMMER,Section,SHSS,HUMA,HUMA,2300,L1,18-19-SUMMER-HUMA-2300,18-19-SUMMER-HUMA-2300-L1,-,-,-,59,0.305,Y,0.271,-,79.2,81.3,24.6,21.4,87.5,89.1,17.7,15.7
18-19,SUMMER,Instructor,SHSS,HUMA,HUMA,2300,L1,18-19-SUMMER-HUMA-2300,18-19-SUMMER-HUMA-2300-L1,18-19-SUMMER-HUMA-2300-L1-SI,"LI,  Siya",hmlisiya,59,0.305,Y,0.271,-,79.2,81.3,24.6,21.4,87.5,89.1,17.7,15.7
18-19,SUMMER,Course,SHSS,HUMA,HUMA,3810,-,18-19-SUMMER-HUMA-3810,-,-,-,-,-,0.283,Y,0.25,1,82.4,83.3,21.2,20.4,83.8,85,19.6,18.4
18-19,SUMMER,Section,SHSS,HUMA,HUMA,3810,L1,18-19-SUMMER-HUMA-3810,18-19-SUMMER-HUMA-3810-L1,-,-,-,60,0.283,Y,0.25,-,82.4,83.3,21.2,20.4,83.8,85,19.6,18.4
18-19,SUMMER,Instructor,SHSS,HUMA,HUMA,3810,L1,18-19-SUMMER-HUMA-3810,18-19-SUMMER-HUMA-3810-L1,18-19-SUMMER-HUMA-3810-L1-SI,"WONG, Simon Man Ho",hmmhwong,60,0.283,Y,0.25,-,82.4,83.3,21.2,20.4,83.8,85,19.6,18.4
