Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
23-24,FALL,School,OTHERS,-,-,-,-,-,-,-,-,-,-,0.656,,-,12,4.51,-,0.68,-,4.72,-,0.54,-
23-24,FALL,Dept / Course Group,OTHERS,CEI,-,-,-,-,-,-,-,-,-,0.665,,-,10,4.5,-,0.7,-,4.75,-,0.51,-
23-24,FALL,Dept / Course Group,OTHERS,DSTO,-,-,-,-,-,-,-,-,-,0.567,,-,2,4.68,-,0.47,-,4.59,-,0.65,-
23-24,FALL,Course,OTHERS,CEI,PDEV,6800Z,-,23-24-FALL-PDEV-6800Z,-,-,-,-,-,0.665,,-,10,4.5,-,0.7,-,4.75,-,0.51,-
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T01,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T01,-,-,-,64,0.734,,0.703,-,4.62,4.67,0.64,0.52,4.79,4.84,0.55,0.37
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T01,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T01,23-24-FALL-PDEV-6800Z-T01-SI,"YUEN, Karina",ykh,64,0.734,,0.703,-,4.62,4.67,0.64,0.52,4.79,4.84,0.55,0.37
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T02,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T02,-,-,-,65,0.631,,0.6,-,4.44,4.46,0.63,0.6,4.66,4.72,0.62,0.46
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T02,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T02,23-24-FALL-PDEV-6800Z-T02-SI,"YUEN, Karina",ykh,65,0.631,,0.6,-,4.44,4.46,0.63,0.6,4.66,4.72,0.62,0.46
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T03,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T03,-,-,-,65,0.754,,0.723,-,4.47,4.49,0.71,0.69,4.69,4.72,0.51,0.45
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T03,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T03,23-24-FALL-PDEV-6800Z-T03-SI,"YUEN, Karina",ykh,65,0.754,,0.723,-,4.47,4.49,0.71,0.69,4.69,4.72,0.51,0.45
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T04,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T04,-,-,-,63,0.603,,0.571,-,4.55,4.58,0.6,0.55,4.68,4.75,0.66,0.5
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T04,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T04,23-24-FALL-PDEV-6800Z-T04-SI,"YUEN, Karina",ykh,63,0.603,,0.571,-,4.55,4.58,0.6,0.55,4.68,4.75,0.66,0.5
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T05,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T05,-,-,-,64,0.688,,0.656,-,4.52,4.57,0.66,0.55,4.8,4.86,0.59,0.42
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T05,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T05,23-24-FALL-PDEV-6800Z-T05-SI,"YUEN, Karina",ykh,64,0.688,,0.656,-,4.52,4.57,0.66,0.55,4.8,4.86,0.59,0.42
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T06,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T06,-,-,-,54,0.537,,0.5,-,4.62,4.67,0.56,0.48,4.83,4.85,0.38,0.36
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T06,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T06,23-24-FALL-PDEV-6800Z-T06-SI,"YUEN, Karina",ykh,54,0.537,,0.5,-,4.62,4.67,0.56,0.48,4.83,4.85,0.38,0.36
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T07,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T07,-,-,-,64,0.688,,0.656,-,4.39,4.45,0.89,0.74,4.8,4.81,0.41,0.4
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T07,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T07,23-24-FALL-PDEV-6800Z-T07-SI,"LUO, Crystal",crystalluo,64,0.688,,0.656,-,4.39,4.45,0.89,0.74,4.8,4.81,0.41,0.4
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T08,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T08,-,-,-,63,0.73,,0.698,-,4.5,4.52,0.66,0.63,4.76,4.77,0.43,0.42
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T08,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T08,23-24-FALL-PDEV-6800Z-T08-SI,"LUO, Crystal",crystalluo,63,0.73,,0.698,-,4.5,4.52,0.66,0.63,4.76,4.77,0.43,0.42
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T09,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T09,-,-,-,61,0.672,,0.639,-,4.44,4.46,0.59,0.55,4.71,4.72,0.46,0.46
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T09,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T09,23-24-FALL-PDEV-6800Z-T09-SI,"LUO, Crystal",crystalluo,61,0.672,,0.639,-,4.44,4.46,0.59,0.55,4.71,4.72,0.46,0.46
23-24,FALL,Section,OTHERS,CEI,PDEV,6800Z,T10,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T10,-,-,-,54,0.574,,0.537,-,4.42,4.52,0.96,0.74,4.77,4.79,0.43,0.41
23-24,FALL,Instructor,OTHERS,CEI,PDEV,6800Z,T10,23-24-FALL-PDEV-6800Z,23-24-FALL-PDEV-6800Z-T10,23-24-FALL-PDEV-6800Z-T10-SI,"LUO, Crystal",crystalluo,54,0.574,,0.537,-,4.42,4.52,0.96,0.74,4.77,4.79,0.43,0.41
23-24,FALL,Course,OTHERS,DSTO,GNED,2510,-,23-24-FALL-GNED-2510,-,-,-,-,-,0.567,,-,2,4.68,-,0.47,-,4.59,-,0.65,-
