Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
20-21,SUMMER,School,SSCI,-,-,-,-,-,-,-,-,-,-,0.322,,-,21,4.0,-,0.96,-,4.11,-,0.85,-
20-21,SUMMER,Dept / Course Group,SSCI,CHEM,-,-,-,-,-,-,-,-,-,0.4,Y,-,3,4.06,-,0.57,-,4.13,-,0.62,-
20-21,SUMMER,Dept / Course Group,SSCI,ENTR-SSCI,-,-,-,-,-,-,-,-,-,0.571,Y,-,1,4.5,-,0.58,-,4.75,-,0.5,-
20-21,SUMMER,Dept / Course Group,SSCI,LIFS,-,-,-,-,-,-,-,-,-,0.294,,-,2,3.93,-,1.06,-,4.08,-,0.87,-
20-21,SUMMER,Dept / Course Group,SSCI,MATH,-,-,-,-,-,-,-,-,-,0.432,,-,7,4.12,-,0.95,-,4.27,-,0.84,-
20-21,SUMMER,Dept / Course Group,SSCI,OCES,-,-,-,-,-,-,-,-,-,0.237,Y,-,1,3.78,-,0.8,-,3.89,-,0.7,-
20-21,SUMMER,Dept / Course Group,SSCI,PHYS,-,-,-,-,-,-,-,-,-,0.369,,-,5,4.03,-,0.98,-,4.07,-,0.95,-
20-21,SUMMER,Dept / Course Group,SSCI,MAFS,-,-,-,-,-,-,-,-,-,0.243,Y,-,2,4.11,-,0.83,-,4.22,-,0.81,-
20-21,SUMMER,Course,SSCI,CHEM,CHEM,1020,-,20-21-SUMMER-CHEM-1020,-,-,-,-,-,0.393,Y,0.321,1,4.0,4,0.45,0,4.0,4,0.45,0
20-21,SUMMER,Section,SSCI,CHEM,CHEM,1020,L1,20-21-SUMMER-CHEM-1020,20-21-SUMMER-CHEM-1020-L1,-,-,-,28,0.393,Y,0.321,-,4.0,4,0.45,0,4.0,4,0.45,0
20-21,SUMMER,Instructor,SSCI,CHEM,CHEM,1020,L1,20-21-SUMMER-CHEM-1020,20-21-SUMMER-CHEM-1020-L1,20-21-SUMMER-CHEM-1020-L1-SI,"TSANG, Ming Wai Emily",chetsang,28,0.393,Y,0.321,-,4.0,4,0.45,0,4.0,4,0.45,0
20-21,SUMMER,Course,SSCI,CHEM,CHEM,3020,-,20-21-SUMMER-CHEM-3020,-,-,-,-,-,1.0,,0.333,1,4.67,5,0.58,0,5.0,5,0.0,0
20-21,SUMMER,Section,SSCI,CHEM,CHEM,3020,L1,20-21-SUMMER-CHEM-3020,20-21-SUMMER-CHEM-3020-L1,-,-,-,3,1.0,,0.333,-,4.67,5,0.58,0,5.0,5,0.0,0
20-21,SUMMER,Instructor,SSCI,CHEM,CHEM,3020,L1,20-21-SUMMER-CHEM-3020,20-21-SUMMER-CHEM-3020-L1,20-21-SUMMER-CHEM-3020-L1-SI,"CHAN, Kwan Kit Jason",kkjchan,3,1.0,,0.333,-,4.67,5,0.58,0,5.0,5,0.0,0
20-21,SUMMER,Course,SSCI,CHEM,CHEM,4691,-,20-21-SUMMER-CHEM-4691,-,-,-,-,-,0.222,Y,-,1,3.5,-,0.71,-,3.5,-,0.71,-
20-21,SUMMER,Section,SSCI,CHEM,CHEM,4691,L1,20-21-SUMMER-CHEM-4691,20-21-SUMMER-CHEM-4691-L1,-,-,-,9,0.222,Y,-,-,3.5,-,0.71,-,3.5,-,0.71,-
20-21,SUMMER,Instructor,SSCI,CHEM,CHEM,4691,L1,20-21-SUMMER-CHEM-4691,20-21-SUMMER-CHEM-4691-L1,20-21-SUMMER-CHEM-4691-L1-SN,,,9,0.222,Y,-,-,3.5,-,0.71,-,3.5,-,0.71,-
20-21,SUMMER,Course,SSCI,ENTR-SSCI,ENTR,3360,-,20-21-SUMMER-ENTR-3360,-,-,-,-,-,0.571,Y,0.286,1,4.5,4.5,0.58,0.71,4.75,5,0.5,0
20-21,SUMMER,Section,SSCI,ENTR-SSCI,ENTR,3360,L1,20-21-SUMMER-ENTR-3360,20-21-SUMMER-ENTR-3360-L1,-,-,-,7,0.571,Y,0.286,-,4.5,4.5,0.58,0.71,4.75,5,0.5,0
20-21,SUMMER,Instructor,SSCI,ENTR-SSCI,ENTR,3360,L1,20-21-SUMMER-ENTR-3360,20-21-SUMMER-ENTR-3360-L1,20-21-SUMMER-ENTR-3360-L1-SI,"LEUNG, Suk Wai Winnie",eewswleung,7,0.571,Y,0.286,-,4.5,4.5,0.58,0.71,4.75,5,0.5,0
20-21,SUMMER,Course,SSCI,LIFS,LIFS,1020,-,20-21-SUMMER-LIFS-1020,-,-,-,-,-,0.545,,-,1,4.08,-,0.9,-,4.25,-,0.73,-
20-21,SUMMER,Section,SSCI,LIFS,LIFS,1020,L1,20-21-SUMMER-LIFS-1020,20-21-SUMMER-LIFS-1020-L1,-,-,-,44,0.545,,-,-,4.08,-,0.9,-,4.25,-,0.73,-
20-21,SUMMER,Instructor,SSCI,LIFS,LIFS,1020,L1,20-21-SUMMER-LIFS-1020,20-21-SUMMER-LIFS-1020-L1,20-21-SUMMER-LIFS-1020-L1-SI1,"LAM, Y Philip",ylam,44,0.545,,0.5,-,4.17,4.23,0.87,0.75,4.42,4.45,0.65,0.6
20-21,SUMMER,Instructor,SSCI,LIFS,LIFS,1020,L1,20-21-SUMMER-LIFS-1020,20-21-SUMMER-LIFS-1020-L1,20-21-SUMMER-LIFS-1020-L1-SI2,"TANG, Jessica Ce Mun",bocemun,44,0.545,,0.5,-,4.0,4.05,0.93,0.84,4.08,4.14,0.78,0.64
20-21,SUMMER,Course,SSCI,LIFS,LIFS,1030,-,20-21-SUMMER-LIFS-1030,-,-,-,-,-,0.202,Y,-,1,3.77,-,1.19,-,3.92,-,0.96,-
20-21,SUMMER,Section,SSCI,LIFS,LIFS,1030,L1,20-21-SUMMER-LIFS-1030,20-21-SUMMER-LIFS-1030-L1,-,-,-,119,0.202,Y,-,-,3.77,-,1.19,-,3.92,-,0.96,-
20-21,SUMMER,Instructor,SSCI,LIFS,LIFS,1030,L1,20-21-SUMMER-LIFS-1030,20-21-SUMMER-LIFS-1030-L1,20-21-SUMMER-LIFS-1030-L1-SI1,"KO, Ice WP",iceko,119,0.202,Y,0.185,-,3.71,3.77,1.3,1.19,3.96,4.05,1.0,0.79
20-21,SUMMER,Instructor,SSCI,LIFS,LIFS,1030,L1,20-21-SUMMER-LIFS-1030,20-21-SUMMER-LIFS-1030-L1,20-21-SUMMER-LIFS-1030-L1-SI2,"LAM, Ka Sin Cindy",envscindy,119,0.202,Y,0.185,-,3.83,3.91,1.09,0.92,3.88,3.95,0.95,0.72
20-21,SUMMER,Course,SSCI,MATH,MATH,1014,-,20-21-SUMMER-MATH-1014,-,-,-,-,-,0.615,,0.538,1,3.94,4,1.0,0.88,4.19,4.29,0.91,0.73
20-21,SUMMER,Section,SSCI,MATH,MATH,1014,L1,20-21-SUMMER-MATH-1014,20-21-SUMMER-MATH-1014-L1,-,-,-,26,0.615,,0.538,-,3.94,4,1.0,0.88,4.19,4.29,0.91,0.73
20-21,SUMMER,Instructor,SSCI,MATH,MATH,1014,L1,20-21-SUMMER-MATH-1014,20-21-SUMMER-MATH-1014-L1,20-21-SUMMER-MATH-1014-L1-SI,"LAM, Tsz Kin",tklam,26,0.615,,0.538,-,3.94,4,1.0,0.88,4.19,4.29,0.91,0.73
20-21,SUMMER,Course,SSCI,MATH,MATH,2352,-,20-21-SUMMER-MATH-2352,-,-,-,-,-,0.311,Y,0.279,1,4.05,4.12,0.97,0.86,4.16,4.24,0.83,0.66
20-21,SUMMER,Section,SSCI,MATH,MATH,2352,L1,20-21-SUMMER-MATH-2352,20-21-SUMMER-MATH-2352-L1,-,-,-,61,0.311,Y,0.279,-,4.05,4.12,0.97,0.86,4.16,4.24,0.83,0.66
20-21,SUMMER,Instructor,SSCI,MATH,MATH,2352,L1,20-21-SUMMER-MATH-2352,20-21-SUMMER-MATH-2352-L1,20-21-SUMMER-MATH-2352-L1-SI,"CHING, Avery",maaching,61,0.311,Y,0.279,-,4.05,4.12,0.97,0.86,4.16,4.24,0.83,0.66
20-21,SUMMER,Course,SSCI,MATH,MATH,4984U,-,20-21-SUMMER-MATH-4984U,-,-,-,-,-,0.5,Y,-,1,4.5,-,0.71,-,4.5,-,0.71,-
20-21,SUMMER,Section,SSCI,MATH,MATH,4984U,L1,20-21-SUMMER-MATH-4984U,20-21-SUMMER-MATH-4984U-L1,-,-,-,4,0.5,Y,-,-,4.5,-,0.71,-,4.5,-,0.71,-
20-21,SUMMER,Instructor,SSCI,MATH,MATH,4984U,L1,20-21-SUMMER-MATH-4984U,20-21-SUMMER-MATH-4984U-L1,20-21-SUMMER-MATH-4984U-L1-SI,"XIONG, Maosheng",mamsxiong,4,0.5,Y,-,-,4.5,-,0.71,-,4.5,-,0.71,-
20-21,SUMMER,Course,SSCI,MATH,MATH,4984V,-,20-21-SUMMER-MATH-4984V,-,-,-,-,-,1.0,,-,1,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Section,SSCI,MATH,MATH,4984V,L1,20-21-SUMMER-MATH-4984V,20-21-SUMMER-MATH-4984V-L1,-,-,-,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Instructor,SSCI,MATH,MATH,4984V,L1,20-21-SUMMER-MATH-4984V,20-21-SUMMER-MATH-4984V-L1,20-21-SUMMER-MATH-4984V-L1-SI,"KU, Yin Bon",maybku,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Course,SSCI,MATH,MATH,4984W,-,20-21-SUMMER-MATH-4984W,-,-,-,-,-,1.0,,-,1,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Section,SSCI,MATH,MATH,4984W,L1,20-21-SUMMER-MATH-4984W,20-21-SUMMER-MATH-4984W-L1,-,-,-,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Instructor,SSCI,MATH,MATH,4984W,L1,20-21-SUMMER-MATH-4984W,20-21-SUMMER-MATH-4984W-L1,20-21-SUMMER-MATH-4984W-L1-SI,"XIONG, Maosheng",mamsxiong,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Course,SSCI,MATH,MATH,4984X,-,20-21-SUMMER-MATH-4984X,-,-,-,-,-,1.0,,-,1,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Section,SSCI,MATH,MATH,4984X,L1,20-21-SUMMER-MATH-4984X,20-21-SUMMER-MATH-4984X-L1,-,-,-,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Instructor,SSCI,MATH,MATH,4984X,L1,20-21-SUMMER-MATH-4984X,20-21-SUMMER-MATH-4984X-L1,20-21-SUMMER-MATH-4984X-L1-SI,"FUNG, Chi Hung",majfung,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Course,SSCI,MATH,MATH,4984Y,-,20-21-SUMMER-MATH-4984Y,-,-,-,-,-,1.0,,-,1,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Section,SSCI,MATH,MATH,4984Y,L1,20-21-SUMMER-MATH-4984Y,20-21-SUMMER-MATH-4984Y-L1,-,-,-,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Instructor,SSCI,MATH,MATH,4984Y,L1,20-21-SUMMER-MATH-4984Y,20-21-SUMMER-MATH-4984Y-L1,20-21-SUMMER-MATH-4984Y-L1-SI,"BAO, Zhigang",mazgbao,1,1.0,,-,-,5.0,-,0.0,-,5.0,-,0.0,-
20-21,SUMMER,Course,SSCI,OCES,OCES,1030,-,20-21-SUMMER-OCES-1030,-,-,-,-,-,0.237,Y,-,1,3.78,-,0.8,-,3.89,-,0.7,-
20-21,SUMMER,Section,SSCI,OCES,OCES,1030,L1,20-21-SUMMER-OCES-1030,20-21-SUMMER-OCES-1030-L1,-,-,-,57,0.237,Y,-,-,3.78,-,0.8,-,3.89,-,0.7,-
20-21,SUMMER,Instructor,SSCI,OCES,OCES,1030,L1,20-21-SUMMER-OCES-1030,20-21-SUMMER-OCES-1030-L1,20-21-SUMMER-OCES-1030-L1-SI1,"KO, Ice WP",iceko,57,0.246,Y,0.211,-,3.79,3.83,0.8,0.58,3.86,3.83,0.77,0.72
20-21,SUMMER,Instructor,SSCI,OCES,OCES,1030,L1,20-21-SUMMER-OCES-1030,20-21-SUMMER-OCES-1030-L1,20-21-SUMMER-OCES-1030-L1-SI2,"LAM, Ka Sin Cindy",envscindy,57,0.228,Y,0.193,-,3.77,3.82,0.83,0.6,3.92,3.91,0.64,0.54
20-21,SUMMER,Course,SSCI,PHYS,PHYS,1006,-,20-21-SUMMER-PHYS-1006,-,-,-,-,-,0.261,Y,-,1,4.25,-,0.97,-,4.08,-,1.0,-
20-21,SUMMER,Section,SSCI,PHYS,PHYS,1006,L1,20-21-SUMMER-PHYS-1006,20-21-SUMMER-PHYS-1006-L1,-,-,-,46,0.261,Y,-,-,4.25,-,0.97,-,4.08,-,1.0,-
20-21,SUMMER,Instructor,SSCI,PHYS,PHYS,1006,L1,20-21-SUMMER-PHYS-1006,20-21-SUMMER-PHYS-1006-L1,20-21-SUMMER-PHYS-1006-L1-SI,"CHEN, Tian Wen",twchen,46,0.261,Y,0.217,-,4.25,4.4,0.97,0.7,4.08,4.2,1.0,0.79
20-21,SUMMER,Course,SSCI,PHYS,PHYS,1113,-,20-21-SUMMER-PHYS-1113,-,-,-,-,-,0.889,Y,0.667,1,4.25,4.17,0.46,0.41,4.25,4.17,0.46,0.41
20-21,SUMMER,Section,SSCI,PHYS,PHYS,1113,T1,20-21-SUMMER-PHYS-1113,20-21-SUMMER-PHYS-1113-T1,-,-,-,9,0.889,Y,0.667,-,4.25,4.17,0.46,0.41,4.25,4.17,0.46,0.41
20-21,SUMMER,Instructor,SSCI,PHYS,PHYS,1113,T1,20-21-SUMMER-PHYS-1113,20-21-SUMMER-PHYS-1113-T1,20-21-SUMMER-PHYS-1113-T1-SI,"NG, Yee Fai",phyfng,9,0.889,Y,0.667,-,4.25,4.17,0.46,0.41,4.25,4.17,0.46,0.41
20-21,SUMMER,Course,SSCI,PHYS,PHYS,1114,-,20-21-SUMMER-PHYS-1114,-,-,-,-,-,0.345,,0.321,1,4.21,4.3,0.94,0.72,4.45,4.52,0.74,0.58
20-21,SUMMER,Section,SSCI,PHYS,PHYS,1114,L1,20-21-SUMMER-PHYS-1114,20-21-SUMMER-PHYS-1114-L1,-,-,-,84,0.345,,0.321,-,4.21,4.3,0.94,0.72,4.45,4.52,0.74,0.58
20-21,SUMMER,Instructor,SSCI,PHYS,PHYS,1114,L1,20-21-SUMMER-PHYS-1114,20-21-SUMMER-PHYS-1114-L1,20-21-SUMMER-PHYS-1114-L1-SI,"CHEUNG, Man Fung",cheungmf,84,0.345,,0.321,-,4.21,4.3,0.94,0.72,4.45,4.52,0.74,0.58
20-21,SUMMER,Course,SSCI,PHYS,PHYS,1115,-,20-21-SUMMER-PHYS-1115,-,-,-,-,-,0.4,Y,0.267,1,4.33,4.5,0.82,0.58,4.33,4.25,0.52,0.5
20-21,SUMMER,Section,SSCI,PHYS,PHYS,1115,T1,20-21-SUMMER-PHYS-1115,20-21-SUMMER-PHYS-1115-T1,-,-,-,15,0.4,Y,0.267,-,4.33,4.5,0.82,0.58,4.33,4.25,0.52,0.5
20-21,SUMMER,Instructor,SSCI,PHYS,PHYS,1115,T1,20-21-SUMMER-PHYS-1115,20-21-SUMMER-PHYS-1115-T1,20-21-SUMMER-PHYS-1115-T1-SI,"NG, Yee Fai",phyfng,15,0.4,Y,0.267,-,4.33,4.5,0.82,0.58,4.33,4.25,0.52,0.5
20-21,SUMMER,Course,SSCI,PHYS,PHYS,4811,-,20-21-SUMMER-PHYS-4811,-,-,-,-,-,0.415,Y,0.366,1,3.35,3.4,1.06,0.83,3.24,3.27,1.09,0.88
